Junctions	sum	species
CGAMUSTENST00000394503JUNC00002	1	mouse
CGAMUSTENST00000292476JUNC00003	38	mouse
CGAMUSTENST00000533727JUNC00004	76	mouse
CGAMUSTENST00000534300JUNC00005	4	mouse
CGAMUSTENST00000370253JUNC00007	81	mouse
CGAMUSTENST00000630269JUNC00008	8	mouse
CGAMUSTENST00000393441JUNC00011	16	mouse
CGAMUSTENST00000356896JUNC00012	158	mouse
CGAMUSTENST00000614484JUNC00014	103	mouse
CGAMUSTENST00000446597JUNC00017	110	mouse
CGAMUSTENST00000446597JUNC00018	107	mouse
CGAMUSTENST00000536386JUNC00019	10	mouse
CGAMUSTENST00000536386JUNC00020	39	mouse
CGAMUSTENST00000545552JUNC00021	17	mouse
CGAMUSTENST00000545552JUNC00022	21	mouse
CGAMUSTENST00000515395JUNC00026	82	mouse
CGAMUSTENST00000618438JUNC00028	117	mouse
CGAMUSTENST00000539015JUNC00029	35	mouse
CGAMUSTENST00000528062JUNC00031	1	mouse
CGAMUSTENST00000442977JUNC00032	5	mouse
CGAMUSTENST00000297447JUNC00033	35	mouse
CGAMUSTENST00000360929JUNC00034	1	mouse
CGAMUSTENST00000248933JUNC00036	35	mouse
CGAMUSTENST00000508530JUNC00041	70	mouse
CGAMUSTENST00000397601JUNC00042	544	mouse
CGAMUSTENST00000397601JUNC00043	609	mouse
CGAMUSTENST00000376673JUNC00044	7	mouse
CGAMUSTENSCAFT00000022682JUNC00045	126	mouse
CGAMUSTENST00000373057JUNC00047	26	mouse
CGAMUSTENST00000354667JUNC00049	1253	mouse
CGAMUSTENST00000354667JUNC00050	1148	mouse
CGAMUSTENST00000344626JUNC00051	48	mouse
CGAMUSTENST00000344626JUNC00052	46	mouse
CGAMUSTENST00000361452JUNC00053	58	mouse
CGAMUSTENST00000334961JUNC00054	2	mouse
CGAMUSTENST00000378166JUNC00059	45	mouse
CGAMUSTENST00000378166JUNC00060	42	mouse
CGAMUSTENST00000378166JUNC00061	30	mouse
CGAMUSTENST00000368406JUNC00062	3	mouse
CGAMUSTENSCAFT00000031036JUNC00063	2	mouse
CGAMUSTENST00000378083JUNC00064	3	mouse
CGAMUSTENST00000378083JUNC00065	4	mouse
CGAMUSTENST00000378083JUNC00066	35	mouse
CGAMUSTENST00000328159JUNC00068	228	mouse
CGAMUSTENST00000328159JUNC00069	151	mouse
CGAMUSTENST00000368530JUNC00070	77	mouse
CGAMUSTENST00000611659JUNC00071	1	mouse
CGAMUSTENSCAFT00000027252JUNC00073	1	mouse
CGAMUSTENST00000594439JUNC00077	1	mouse
CGAMUSTENST00000530767JUNC00078	2	mouse
